arrival_time (minutes),p1 throughput,p2 throughput,p3 throughput
0,0,0,0
0,0,0,0
14.60315655641208110182560631,0,0,0
14.60315655641208110182560631,0,0,0
34.48243141507721531979768770,0,0,0
34.48243141507721531979768770,0,0,0
34.48243141507721531979768770,0,0,0
65.54523457726765656161660445,0,0,0
65.54523457726765656161660445,0,0,0
66.22961630975492830497586283,0,0,0
66.22961630975492830497586283,0,0,0
66.25769388327494269219641865,0,0,0
66.25769388327494269219641865,0,0,0
68.51057712787705067380983337,0,0,0
70.02011798247964824426503583,1,0,0
70.02011798247964824426503583,1,0,0
71.96305487011601265123772464,1,0,0
71.96305487011601265123772464,1,0,0
73.46144456404818412487145451,2,0,0
73.46144456404818412487145451,2,0,0
74.81700856932664800424959139,2,0,0
74.81700856932664800424959139,2,0,0
75.71601727585633223593930551,3,0,0
75.71601727585633223593930551,3,0,0
75.85627582571519811338589533,3,0,0
75.85627582571519811338589533,3,0,0
78.81220430981969871098158363,4,0,0
78.81220430981969871098158363,4,0,0
104.8931511604370219181703305,4,0,0
104.8931511604370219181703305,4,0,0
105.3001466523098347272124897,5,0,0
105.3001466523098347272124897,5,0,0
113.0381679978131974628752232,5,0,0
113.0381679978131974628752232,5,0,0
116.1000486818844659175908873,5,0,0
116.1000486818844659175908873,5,0,0
116.1000486818844659175908873,5,0,0
118.8120599527682812457385353,6,0,0
118.8120599527682812457385353,6,0,0
120.5285236691654797702710766,6,0,0
120.5285236691654797702710766,6,0,0
122.3792156371233843525914153,7,0,0
122.3792156371233843525914153,7,0,0
125.7175274623127401163458216,7,0,0
125.7175274623127401163458216,7,0,0
126.5645068900122535149321833,8,0,0
126.5645068900122535149321833,8,0,0
147.2148507303955100589121229,8,0,0
147.2148507303955100589121229,8,0,0
153.9807622957909001293330674,9,0,0
153.9807622957909001293330674,9,0,0
159.4854604927565717709114778,9,0,0
159.4854604927565717709114778,9,0,0
162.2698038333450547554548393,10,0,0
162.2698038333450547554548393,10,0,0
164.8786305889708727612230631,10,0,0
164.8786305889708727612230631,10,0,0
166.8704014587302868477536321,11,0,0
166.8704014587302868477536321,11,0,0
176.2448820183480324708114039,11,0,0
176.2448820183480324708114039,11,0,0
180.4248040459691728720770242,12,0,0
180.4248040459691728720770242,12,0,0
205.4295158607336193590242600,12,0,0
205.4295158607336193590242600,12,0,0
212.6998202933064017194908500,13,0,0
212.6998202933064017194908500,13,0,0
